Date,Open,High,Low,Close,Adj Close,Volume
1999-05-04,76.000000,77.250000,70.000000,70.375000,55.471413,22320900
1999-05-05,69.875000,69.875000,66.250000,69.125000,54.486107,7565700
1999-05-06,68.000000,69.375000,67.062500,67.937500,53.550110,2905700
1999-05-07,67.937500,74.875000,66.750000,74.125000,58.427258,4862300
1999-05-10,73.375000,73.500000,70.250000,70.687500,55.717724,2589400
1999-05-11,70.000000,71.187500,69.500000,70.625000,55.668468,1839800
1999-05-12,71.000000,74.875000,69.125000,73.500000,57.934601,2659300
1999-05-13,73.250000,75.250000,72.500000,73.187500,57.688309,1142900
1999-05-14,71.250000,72.250000,69.062500,70.187500,55.323616,2058400
1999-05-17,69.125000,70.250000,68.000000,68.625000,54.092014,2075000
1999-05-18,68.250000,70.437500,68.125000,68.625000,54.092014,1407100
1999-05-19,69.375000,69.812500,68.750000,69.312500,54.633919,727400
1999-05-20,69.562500,70.125000,68.375000,68.375000,53.894951,520800
1999-05-21,68.125000,68.812500,67.500000,67.500000,53.205242,936200
1999-05-24,67.000000,67.250000,65.000000,65.312500,51.481010,1493000
1999-05-25,64.125000,65.937500,64.000000,64.500000,50.840580,1662400
1999-05-26,65.625000,66.625000,63.062500,66.062500,52.072205,1602900
1999-05-27,65.000000,67.750000,64.687500,67.750000,53.402325,1220500
1999-05-28,67.750000,68.812500,67.000000,67.937500,53.550110,901900
1999-06-01,66.625000,66.625000,63.562500,64.187500,50.594257,953900
1999-06-02,63.750000,64.062500,62.000000,63.250000,49.855301,2204300
1999-06-03,64.000000,64.187500,63.125000,63.625000,50.150898,852600
1999-06-04,64.312500,67.000000,64.312500,65.375000,51.530273,1357400
1999-06-07,65.187500,67.750000,65.187500,65.937500,51.973667,891900
1999-06-08,65.375000,65.687500,63.750000,63.750000,50.249420,571700
1999-06-09,64.250000,65.500000,63.625000,65.500000,51.628803,611400
1999-06-10,64.875000,64.937500,63.312500,63.375000,49.953819,664200
1999-06-11,63.937500,64.312500,62.312500,63.250000,49.855301,969300
1999-06-14,63.500000,64.000000,60.500000,61.250000,48.278858,821100
1999-06-15,62.875000,63.375000,62.250000,62.750000,49.461189,831700
1999-06-16,63.937500,65.437500,63.937500,65.250000,51.431763,690300
1999-06-17,64.500000,66.875000,64.500000,65.000000,51.234699,955700
1999-06-18,64.250000,64.875000,63.500000,64.812500,51.086903,613900
1999-06-21,66.687500,69.937500,66.562500,69.500000,54.781685,1811000
